_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,stories_hidden,stories_hidden_min,stories_unavailable,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames,stories_max_id,color,counter,from_messages,channel_request,channel_req_targeted_by,source
Channel,1462338131,Donald J. Trump,"{'_': 'ChatPhoto', 'photo_id': 5100642395988536211, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x8e\x17\x02\xdbvq\x81\x9f\xf3\xf9QE\x15/Vh\xb4I\x1f'}",2019-10-29 20:27:54+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,2715137746187884143,real_DonaldJTrump,[],,,,642000,[],,,162,161,1,{'channels': ['self']},['real_DonaldJTrump']
Channel,1265936035,Conservatives On Telegram,"{'_': 'ChatPhoto', 'photo_id': 5021996163204753688, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd2_;\xed\r\xbbo\x96\x07\x18\xa2\x8a)\x03\xd4'}",2021-01-14 22:48:49+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-7942461252692488513,ConservativesOnTelegram,[],,,,53608,[],,,1,1,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1294256027,Fearless Report,"{'_': 'ChatPhoto', 'photo_id': 5134389835228883726, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcf\xf9<\xbfz(\xa2\xa0\xe9?'}",2019-06-04 17:51:42+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,6035527079543819743,FearlessReport,[],,,,157492,[],,,3,3,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1420066358,Letâ€™s Go Brandon (Official),"{'_': 'ChatPhoto', 'photo_id': 4992646465532832120, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xaaK\xc8\x08\x8d\xbe@p1\xdb\xbd\x14QT\x07'}",2021-02-21 17:57:23+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-5246032225299771083,LetsGoBrandon,[],,,,29492,[],,,6,6,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1196783243,Trending Politics,"{'_': 'ChatPhoto', 'photo_id': 5174938569930811747, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xba\xa2\xe4JT\xb1<\xe7=\xb1E\x14P;\x9f'}",2021-01-09 21:10:40+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,-7321823980782770291,trendingpolitics,[],,,,16314,[],,,3,3,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1406147540,Fighting The Commies,"{'_': 'ChatPhoto', 'photo_id': 5091608881469172070, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x96\x04\x7f+r\xae^&\xe3vs\x9e\xf4QE7\xb8\x93\xd0'}",2021-06-23 01:27:17+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,3452050416056725641,FightingTheCommies,[],,,,36576,[],,,2,2,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1443119244,BREAKING HEADLINES,"{'_': 'ChatPhoto', 'photo_id': 4922686151270181283, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x85Z#\x19fRH\xe3\x9a(\xa2\xac\xd0'}",2021-04-09 02:36:17+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,4855444534264406404,BREAKINGHEADLINES,[],,,,92015,[],,,9,9,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1459890679,Trump Supporters Channel ðŸ‡ºðŸ‡¸,"{'_': 'ChatPhoto', 'photo_id': 3526623782077835199, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xaf\x15\xca\xa4J:|\xd8\xff\x00\xeb\xd1E\x15i\x8aH'}",2019-12-30 05:22:01+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,-172495787105786418,TrumpChannel,[],,,,188843,[],,,5,5,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1424701732,Lou Dobbs,"{'_': 'ChatPhoto', 'photo_id': 4922850425179318829, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08a\x98\x1c\xa2\xa8\xc7c\x8eI\xfe\x94QEM\xd8\xec\x8f'}",2021-02-10 05:18:00+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-3370190597197838436,LouDobbz,[],,,,15251,[],,,1,1,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1265710242,Jon Voight,"{'_': 'ChatPhoto', 'photo_id': 5023941993843239211, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x8a%\x8d\xec\x8a\x85]\xd8\xeb\xefE\x14P\x81\x9f'}",2021-03-08 02:20:29+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,6742858671129430292,Jon_Voight,[],,,,2640,[],,,3,3,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1494683613,Taking Back America ðŸ‡ºðŸ‡¸,"{'_': 'ChatPhoto', 'photo_id': 5170509140093675933, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x82)cH\t\xc6\x00#\xad\x14QN\xc5]\xa3'}",2021-03-07 14:00:07+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-4891811407069994873,TakingBackAmerica,[],,,,10547,[],,,1,1,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1318801077,The Post Millennial,"{'_': 'ChatPhoto', 'photo_id': 4956347596675328200, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcf\xdf\x1e\xcf\xe2\xdf\xfaQE\x14\x01'}",2021-02-02 00:34:01+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-4047005232015641443,ThePostMillennial,[],,,,28103,[],,,3,3,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1396332892,Dan Scavino FORCEðŸ‡ºðŸ‡¸ðŸ¦…,"{'_': 'ChatPhoto', 'photo_id': 5111940389065042194, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa3\x19\xcb\xa2\xa0^W<\x9c\x7f\x93E\x14R{\x9aCc'}",2021-03-19 17:45:45+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,4313789408915685188,DanScavinoFORCE,[],,,,103551,[],,,2,2,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1353088446,The American Spectator,"{'_': 'ChatPhoto', 'photo_id': 5145650071247890720, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xd2\x06e\xb9`@h[\x90GU4QE\x00\x7f'}",2021-03-16 20:21:07+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,6574511805612131811,AmericanSpectator,[],,,,62470,[],,,3,3,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1242718395,DC Enquirer,"{'_': 'ChatPhoto', 'photo_id': 4918050176455780949, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xb3\x8b\x8f\xb5g\r\x9d\xdf\x86(\xa2\x8alG'}",2022-02-11 18:42:20+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-1941062202019666957,DCEnquirer,[],,,,13158,[],,,1,1,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1430871715,The Babylon Bee,"{'_': 'ChatPhoto', 'photo_id': 5102750838383815658, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xb7\xfe\x91\xe7\xff\x00\x16}{u\xa2\x8a(@\xcf'}",2021-01-18 16:58:29+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-6883332537552408286,TheBabylonBee,[],,,,144712,[],,,2,2,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1295158110,Viral Polls,"{'_': 'ChatPhoto', 'photo_id': 1263080359574218780, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08~PG\xc0\x05\xbf\x1a(\xa2\xb0=\x04\xac\x7f'}",2019-12-18 04:35:52+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,9043185238033097209,ViralPolls,[],,,,383,[],,,16,16,0,{'channels': ['self']},['real_DonaldJTrump']
Channel,1446225709,James Woods,"{'_': 'ChatPhoto', 'photo_id': 5107398452559587399, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa7\x14\x8a m\xc3\x83\xc0\xcd\x14Q@\x1f'}",2020-06-07 06:23:34+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,-4770529920014294781,JamesWoodsFans,[],,,,108701,[],,,1,1,0,{'channels': ['self']},['real_DonaldJTrump']
